marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
CCDC50	Oogenesis phase fetal germ cell	2.06171125914674e-49	0.366748971993787	0.3	0.081	3.71396666222694e-45	10	0.219
CCDC50	Natural killer T (NKT) cell	2.06171125914674e-49	0.366748971993787	0.3	0.081	3.71396666222694e-45	10	0.219
CCDC50	Plasmacytoid dendritic cell	2.06171125914674e-49	0.366748971993787	0.3	0.081	3.71396666222694e-45	10	0.219
CCL5	Natural killer T (NKT) cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	Finally highly effector (TEMRA) memory T cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	Immuneendothelial cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	Memory CD8+ T cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	Cytotoxic CD8+ T cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	T cell large granular lymphocytic leukemia cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	Megakaryocyte	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	CD8+ T cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	Natural killer cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	T cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCL5	Activated CD8+ T cell	0	1.56762798606444	0.789	0.085	0	7	0.704
CCT6A	Natural killer T (NKT) cell	9.11901473946318e-152	0.482128625426101	0.622	0.29	1.6426993151669e-147	5	0.332
CD2	CD4+ T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	CD4+ T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Cytotoxic T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Cytotoxic T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Leukocyte	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Leukocyte	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	CD8+ T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	CD8+ T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Megakaryocyte erythroid cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Megakaryocyte erythroid cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Lymphocyte	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Lymphocyte	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Natural killer cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Natural killer cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Cancer stem cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Cancer stem cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Natural killer T (NKT) cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	Natural killer T (NKT) cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	Natural killer cell	0	0.412675874130245	0.291	0.041	0	2	0.25
