Tag	GSM257871	GSM257872	GSM257873	GSM257874
CWC25	8.27123890252861	7.54046905177111	7.93657905228892	7.71306339755543
CWF19L1	8.76616446198599	8.91418179500227	8.80531180492161	8.67493373231097
CWH43	3.62692968642004	2.94478349866391	5.70964905900082	4.08561160980154
CX3CL1	5.51324753875389	6.26546315117959	5.58987132560707	5.64840504185093
CX3CR1	8.7073142628771	8.53037122036237	8.56436292445409	8.33055391849104
CXADR	4.75736467238549	6.00899326363968	5.26533187074877	2.64095634571384
CXCL1	5.81915977892428	4.88886499017852	3.03328907798047	5.41364823661203
CXCL10	7.5002284295216	7.74852832105729	8.23349984661379	8.30117149490271
CXCL11	5.8123185190298	5.18722140810998	5.3180962620735	6.21089533980286
CXCL12	6.33746848205966	6.5918663831714	6.71189407047239	6.49414195883368
CXCL13	5.1384622694282	2.59683975443778	3.08104130782053	2.55305079449801
CXCL14	2.82716661640952	2.61065990798118	2.45367823553237	3.39957854634553
CXCL2	6.94352286646964	7.20079073595612	7.75268838867029	7.31628153174622
CXCL3	6.3466041480861	5.29110621989031	5.32788133901421	4.37063858971406
CXCL5	5.26407472473868	5.17819275482543	4.93530886984647	4.51092395311885
CXCL6	4.2687637384108	3.60996766365073	4.26935487347746	5.31176829239042
CXCL8	10.2221428263861	10.1727900121126	11.847006435759	11.1196544595106
CXCL9	6.25963782307132	5.71250223883449	5.02525918193689	6.95630064431008
CXCR1	2.93595187746072	2.76060419460902	3.27141073509758	2.50874808917753
CXCR2	7.13254599794802	7.54560548813899	6.67715584111959	6.83950615536944
CXCR3	5.79191302518971	4.38878881319168	5.20397242385182	6.29610862213753
CXCR4	12.319166863444	12.2944340824019	12.3009416453932	12.1394969945137
CXCR5	6.47244877917796	5.648525841675	5.82483403029708	5.85353912060851
CXCR6	4.57548781563587	5.88554264034954	5.16026676262182	5.40324385903871
CXXC1	10.8843384420914	10.864596294701	10.9336463998244	10.8125303133895
CXXC4	6.00658078955298	4.81105994774008	5.99597061163888	6.80299449163106
CXorf21	8.0374041873511	8.31819932379485	8.24827865305341	7.97579066021354
CXorf36	3.25784189014546	3.89707581339409	3.3856187824176	3.40890746743484
CXorf40A	10.8122896355716	10.5603997125649	10.4261599038687	10.6883552285937
CXorf40B	10.9698829244989	10.8234946247129	10.5398857927515	10.7834812098267
CXorf56	6.56573424974089	6.49594134622413	7.55988180208765	7.41214639654068
CXorf57	2.59666327010315	3.76647855418482	2.83546735059648	4.6508219901012
CYB561	7.20176126746994	6.74749481896261	6.87828393285305	7.02069109327432
CYB561D2	9.06830804934594	8.79314807733882	9.05549123151565	8.7741742781621
CYB5A	8.39565408730148	7.96434664433757	8.43733595030142	8.18565349425547
CYB5B	8.87342565574434	8.91924174602653	9.31206383456888	8.86926686728201
CYB5R1	7.70210340662939	7.84014847548695	8.03767323572706	7.7456339918356
CYB5R2	4.2534674425315	4.92154106331308	2.81294174737044	5.09422339975171
CYB5R3	9.64402569648371	10.2157999161032	10.3516018295138	9.15446625104191
CYB5R4	9.06994915288602	8.71025197418042	7.99928974873182	8.59120067293238
CYBA	11.6571308423629	11.4910413520447	11.8935404432214	11.4859701507151
CYBB	9.95376140026636	9.79102773133436	9.54657425406564	9.40284579507245
CYBRD1	7.86290386736319	7.7776761426189	8.03934679738925	8.05839767737637
CYC1	13.270985844144	12.9894086925446	13.1121038815002	13.2643868853179
CYCS	13.7319871835427	13.4871491631083	13.8555790393156	13.8704032525902
CYFIP1	11.5394884215128	11.6520920661183	11.5392654580092	11.2370665208118
CYFIP2	7.7889531898715	8.33149025783934	8.21231155275081	7.61055981298321
CYHR1	7.56315813040281	6.92542982124374	7.19658737370765	7.47945693479402
CYLC1	6.76355764260411	6.53154521660524	6.03917349554905	5.363616154887
CYLC2	4.85261315052116	6.1712308507812	5.82280916264691	6.16076290907334
CYLD	7.5943843261574	8.32792982864894	7.83216215545818	7.92548323054605
